requirement_id,statutory_requirement,obc_section,fbc_section,statutory_document,evidence_item,owner,reviewer,status
LEGAL-001,identify licensing authority and order maker,Strategic Case legal governance context,Management Case final governance,statutory_route_note,current law and constitutions,Legal Review Agent,Legal Review Agent,open
LEGAL-002,confirm initial order confirmation route,Management Case statutory path,Statutory submission readiness,statutory_route_note,Transport Act 2000 DfT route evidence,Legal Review Agent,Legal Review Agent,open
LEGAL-003,prevent RPI-only variation exemption misuse,Management Case statutory path,Scheme amendment controls,statutory_route_note,WPL England Regulations 2009,Legal Review Agent,Legal Review Agent,working
LEGAL-004,map required scheme order contents,Commercial Case operating model,Final scheme order,draft_scheme_order,clause-by-clause powers matrix,Legal Review Agent,Legal Review Agent,open
LEGAL-005,reconcile net proceeds plans and accounting,Financial Case,Financial Case final affordability,financial_and_net_proceeds,Schedule 12 and net proceeds accounting policy,Finance Review Agent,Legal Review Agent,open
LEGAL-006,resolve WECA MCA role and dependencies,Strategic Case regional governance,Management Case interfaces,legal_authority_and_governance_map,current WECA MCA and Bristol governance evidence,WECA Governance Agent,Legal Review Agent,open
LEGAL-007,capture licence-charge liable party including non-occupier provider,Commercial Case operating model,Final licensing service design,licensing_enforcement_and_appeals,SRC-LEG-0011 licence charge liability,Operations Design Agent,Legal Review Agent,working
LEGAL-008,map penalty-charge contraventions to evidence and liable party,Commercial Case enforcement model,Final enforcement and appeal design,licensing_enforcement_and_appeals,SRC-LEG-0011 penalty charge controls,Operations Design Agent,Legal Review Agent,working
LEGAL-009,produce compliant penalty charge notice and service controls,Management Case operations readiness,Operational readiness certificate,licensing_enforcement_and_appeals,SRC-LEG-0011 PCN content and service rules,Operations Design Agent,Legal Review Agent,open
LEGAL-010,produce representation and rejection decision workflow,Management Case customer and appeals process,Operational readiness certificate,licensing_enforcement_and_appeals,SRC-LEG-0011 representation rules,Operations Design Agent,Legal Review Agent,working
LEGAL-011,produce county court appeal recovery and cancellation controls,Commercial Case enforcement service,Final enforcement and recovery procedure,licensing_enforcement_and_appeals,SRC-LEG-0011 appeal recovery rules,Operations Design Agent,Legal Review Agent,working
LEGAL-012,define notice service policy and evidence log,Management Case operations readiness,Operational readiness certificate,licensing_enforcement_and_appeals,SRC-LEG-0011 service rules,Operations Design Agent,Legal Review Agent,open
LEGAL-013,align any vehicle-class charging or exemptions with statutory classes,Economic Case option design,Final scheme order,draft_scheme_order,SRC-LEG-0013 vehicle class regulations,Operations Design Agent,Legal Review Agent,open
LEGAL-014,avoid overstating Bristol governance approval,Strategic Case governance chronology,Management Case final decision route,council_resolutions,SRC-BCC-0004 SRC-BCC-0022 SRC-BCC-0023 SRC-BCC-0024 SRC-BCC-0025 SRC-BCC-0026 SRC-BCC-0027,Bristol Governance Agent,Governance Review Agent,working
LEGAL-015,classify DfT engagement separately from confirmation,Management Case statutory path,Statutory submission readiness,dft_pre_application,questions_for_dft.md and engagement_log.csv,Legal Review Agent,Legal Review Agent,working
LEGAL-016,maintain WECA MCA support status classifier,Strategic Case regional governance,Management Case interfaces,weca_role_and_evidence,role-options.md support-status.md formal-decision-trail.md,WECA Governance Agent,Legal Review Agent,working
LEGAL-017,control annual net proceeds accounts,Financial Case,Financial Case final affordability,financial_and_net_proceeds,SRC-LEG-0004 SRC-LEG-0012,Finance Review Agent,Legal Review Agent,open
LEGAL-018,control ten year general plan,Financial Case transport investment package,Final statutory dossier,ten_year_general_plan,SRC-LEG-0004,Finance Review Agent,Legal Review Agent,open
LEGAL-019,control five year detailed programme,Financial Case delivery programme,Final statutory dossier,five_year_detailed_programme,SRC-LEG-0004,Finance Review Agent,Legal Review Agent,open
LEGAL-020,control consultation compliance and reconsultation triggers,Strategic Case and Management Case,Consultation report and FBC reconciliation,consultation_statement,consultation-compliance-table.md,Consultation Review Agent,Legal Review Agent,open
