reviewer_id,review_role,required_competence,evidence_scope,mandatory_inputs,output_required,current_status,real_world_replacement
OBC-PANEL-001,Integrated Five Case Review Agent,"Five Case Model integration and gate discipline","All OBC sections and gate checklist","Section dependency matrix claim matrix risk issue evidence gaps","Integrated OBC gate review note",simulation_role_only,"Senior responsible officer programme board and independent business-case assurance reviewer"
OBC-PANEL-002,Legal Review Agent,"Transport Act WPL public law statutory route and consultation law","Legal route statutory crosswalk DfT process scheme-order dependencies","Stage 2L context packet legal compliance matrix Stage 2I Stage 2J Stage 2K controls","Legal simulation review note",simulation_role_only,"Qualified legal adviser and Monitoring Officer"
OBC-PANEL-003,Monitoring Officer Simulation Agent,"Bristol governance decision route and constitutional assurance","Decision route signatory authority committee Full Council and officer execution controls","Bristol constitution decision route map approvals register decision log","Monitoring Officer simulation route note",simulation_role_only,"Bristol City Council Monitoring Officer"
OBC-PANEL-004,WECA Governance Agent,"Combined authority role funding assurance and interface classification","WECA/MCA role consent no-role consultation-response and funding-dependency controls","Stage 2H context packet funding assurance dependency matrix WECA role maps","WECA/MCA interface review note",simulation_role_only,"West of England MCA and Bristol legal finance governance officers"
OBC-PANEL-005,Strategic Case Review Agent,"Transport strategy problem definition objectives CSFs and benefits logic","Strategic Case evidence package package logic benefits map and dependencies","Stage 3A controls strategic evidence status package control registers","Strategic Case review note",simulation_role_only,"Transport strategy lead and programme sponsor"
OBC-PANEL-006,TAG/Appraisal Review Agent,"DfT TAG Green Book economic appraisal and VFM","OAR ASR ASST model outputs BCR VFM uncertainty and Nottingham transfer","Stage 5A appraisal controls model cards benefits taxonomy transferability registers","Economic Case review note",simulation_role_only,"Suitably experienced transport economist and analytical assurance reviewer"
OBC-PANEL-007,GIS Data Review Agent,"Boundary GIS topology parking inventory and spatial QA","Boundary options legal schedule parking inventory displacement and topology outputs","Stage 4A spatial control package parking inventory data contract topology QA","Spatial assurance review note",simulation_role_only,"GIS lead data owner and legal boundary reviewer"
OBC-PANEL-008,Finance Review Agent,"Affordability funding net proceeds accounting and sensitivity","Financial Case costs revenues net proceeds funding stack and affordability controls","Finance model net proceeds policy package funding assurance rows","Finance simulation review note",simulation_role_only,"Section 151 Officer or delegated qualified finance reviewer"
OBC-PANEL-009,Commercial Operations Review Agent,"Procurement commercial operating model enforcement appeals and service design","Commercial Case Management Case operations enforcement PCN appeals and customer controls","Operations linkage controls procurement note enforcement schemas data technology controls","Commercial and operations review note",simulation_role_only,"Procurement lead service owner operations lead and legal enforcement reviewer"
OBC-PANEL-010,Equality Data Protection Accessibility Review Agent,"EqIA DPIA UK GDPR accessibility and inclusive engagement","EqIA health distributional DPIA accessibility alternative formats and response-data controls","DPIA scope consultation privacy accessibility registers response schema","Equality data and accessibility review note",simulation_role_only,"Equality lead Data Protection Officer accessibility lead and consultation lead"
OBC-PANEL-011,Consultation Review Agent,"Formative consultation and response-analysis readiness","Consultation proposition materials questionnaire stakeholder coverage privacy and analysis controls","Stage 8A consultation controls stakeholder coverage material version register analysis plan","Consultation readiness review note",simulation_role_only,"Consultation lead legal reviewer equality lead and communications lead"
OBC-PANEL-012,Red Team,"Adversarial assurance and overclaim detection","All gate materials claims no-go registers public/officer summaries and decision report","Stage 7 red-team packet claim evidence matrix gate checklist risk issue registers","Red-team findings and disposition log",simulation_role_only,"Independent assurance reviewer or external challenge panel"
OBC-PANEL-013,Technical Editor Agent,"Editable officer documents accessibility provenance and no-PDF compliance","Markdown source DOCX manifest accessibility report and document control","Assembly manifest document-control metadata accessibility checks no-authored-PDF scan","Officer-editability review note",simulation_role_only,"Document production lead accessibility reviewer and democratic services"
