exemplar_id,source_id,exemplar_category,project_or_document,source_status,local_reference,pattern_supported,stage32_use,claim_limit,risk_control
EX-WECA-001,SRC-WECA-0009,full_fbc_source_document,Bristol Bridge Signals Junction and Car Park VMS Project Full Business Case,downloaded_extracted,SRC-WECA-0009 lines 1-94,Front matter document history client signoff table of contents and five-case section order,Use as the closest full WECA-facing FBC style/process comparator,Does not evidence Bristol WPL approval WECA support WPL funding or WPL readiness,RISK-0002 RISK-0045
EX-WECA-002,SRC-WECA-0009,full_fbc_source_document,Bristol Bridge Signals Junction and Car Park VMS Project Full Business Case,downloaded_extracted,SRC-WECA-0009 lines 172-186,Report purpose and DfT five-case model explanation,Use to structure simulated OBC report-purpose and section descriptions,Does not mean Bristol WPL can be submitted through WECA approvals,RISK-0045
EX-WECA-003,SRC-WECA-0009,full_fbc_source_document,Bristol Bridge Signals Junction and Car Park VMS Project Full Business Case,downloaded_extracted,SRC-WECA-0009 lines 1126-1157,Economic Case scope methodology VFM and assumptions table pattern,Use to require method source data and assumptions table before VFM claims,Does not provide WPL demand response BCR VFM or model outputs,RISK-0005
EX-WECA-004,SRC-WECA-0009,full_fbc_source_document,Bristol Bridge Signals Junction and Car Park VMS Project Full Business Case,downloaded_extracted,SRC-WECA-0009 lines 1498-1514,Financial Case scope CFO sign-off and dual BCC/Combined Authority approval pattern,Use to require financial-signoff placeholder and approval-route separation,Does not provide Section 151 certification or WECA approval for WPL,RISK-0001 RISK-0002
EX-WECA-005,SRC-WECA-0009,full_fbc_source_document,Bristol Bridge Signals Junction and Car Park VMS Project Full Business Case,downloaded_extracted,SRC-WECA-0009 lines 1619-1645,Commercial Case output specification procurement framework and risk-management pattern,Use to shape WPL commercial case controls for licensing service procurement,Does not prove Bristol WPL operating model procurement route or supplier market readiness,RISK-0007
EX-WECA-006,SRC-WECA-0009,full_fbc_source_document,Bristol Bridge Signals Junction and Car Park VMS Project Full Business Case,downloaded_extracted,SRC-WECA-0009 lines 1787-1807,Management Case promoter delivery arrangements governance programme risks and evaluation pattern,Use to shape WPL governance delivery benefits and monitoring sections,Does not settle Bristol WPL promoter order-maker or WECA role,RISK-0001 RISK-0002
EX-WECA-007,SRC-WECA-0008,soc_source_document,Future4WEST Mass Transit Strategic Outline Case,downloaded_extracted,SRC-WECA-0008 lines 402-407,SOC executive-summary framing and progression to OBC,Use to frame simulated WPL OBC as a staged maturity document,Does not provide a WPL OBC or FBC exemplar and does not prove WPL readiness,RISK-0045
EX-WECA-008,SRC-WECA-0008,soc_source_document,Future4WEST Mass Transit Strategic Outline Case,downloaded_extracted,SRC-WECA-0008 lines 538-565,Discrete OBC work packages options appraisal and VFM assessment framing,Use to require work-package funding classification and option maturity boundaries,Does not select WPL packages or establish WPL VFM,RISK-0005 RISK-0011
EX-WECA-009,SRC-WECA-0008,soc_source_document,Future4WEST Mass Transit Strategic Outline Case,downloaded_extracted,SRC-WECA-0008 lines 9065-9107,Combined Authority Assurance Framework and unitary authority assurance pattern,Use to separate WECA assurance from Bristol and statutory WPL decisions,Does not settle WPL consent no-role support or funding dependency,RISK-0002
EX-WECA-010,SRC-WECA-0008,soc_source_document,Future4WEST Mass Transit Strategic Outline Case,downloaded_extracted,SRC-WECA-0008 lines 9528-9555,Risk and issue management process,Use to align simulated OBC with risk issue and mitigation registers,Does not prove WPL risk mitigation adequacy,RISK-0044
