lesson_id,lesson_theme,nottingham_or_comparator_evidence,bristol_relevance,evidence_strength,transfer_condition,prohibited_overclaim,required_bristol_evidence,current_status,owner
NLR-0001,displaced_parking_cpz,SRC-BCC-0006 lines 2157-2160; SRC-UK-0003 lines 107-108 and 1509-1511,Residential and employment-area spillover must be assessed before boundary or consultation reliance,medium,Boundary options residential street baseline CPZ/RPZ mitigation and monitoring triggers,Nottingham or Leicester proves Bristol displacement scale,Boundary parking inventory displacement model consultation evidence,blocked,Spatial Data Agent
NLR-0002,public_transport_package,SRC-NOTT-0002; SRC-ACADEMIC-0002; SRC-UK-0003,WPL acceptability and impacts depend on credible funded alternatives,medium,Bristol package maturity funding route capacity and benefits attribution,Nottingham public transport benefits will occur in Bristol,Package definition funding assurance model outputs and delivery plan,blocked,Strategic Case Review Agent
NLR-0003,no_charge_transfer,analysis/economic/nottingham-transferability-matrix.csv,Charge level threshold and exemptions must be Bristol-specific,high,Bristol boundary inventory affordability appraisal and consultation evidence,Nottingham charge or threshold is suitable for Bristol,Charge design options ASST EqIA and consultation material,blocked,TAG/Appraisal Review Agent
NLR-0004,no_elasticity_transfer,analysis/economic/nottingham-transferability-matrix.csv; SRC-ACADEMIC-0002,Behavioural response must be modelled with Bristol sensitivity testing,high,Bristol baseline mode share employer mix parking supply and model validation,Nottingham elasticity predicts Bristol response,Model cards run manifests ASR and sensitivity testing,blocked,Analytical Assurance Agent
NLR-0005,evidence_caution,SRC-ACADEMIC-0001 acquisition gap; review/peer_review/stage-1-comparator-evidence-review.md,Independent congestion claims need usable source evidence,high,Acquire usable independent congestion source or omit claim,Nottingham proves congestion reduction for Bristol,Replacement independent source or no congestion-reduction claim,blocked,Comparator Evidence Agent
NLR-0006,employer_support_shadow_year,SRC-NOTT-0001; SRC-NOTT-0002; SRC-BCC-0006,Employer onboarding and compliance support are operational design issues,medium,Bristol employer inventory guidance licensing system appeals route and possible shadow/testing period,Nottingham administration proves Bristol deliverability,Operating model employer support plan and service readiness review,blocked,Operations Design Agent
NLR-0007,residential_baseline_before_boundary,SRC-BCC-0006 lines 2157-2160; SRC-UK-0003 lines 107-108 and 1509-1511,Residential street pressure needs a baseline before boundary options or consultation material can be relied on,medium,Bristol residential street occupancy baseline near employment areas and boundary options,Existing Bristol residential parking impact is known or mitigated,Residential parking beat surveys occupancy stress maps permit zone data disabled access impacts and school hospital visitor constraints,blocked,Spatial Data Agent
NLR-0008,cpz_rpz_mitigation_not_ready,SRC-BCC-0006 lines 2157-2160; SRC-TFL-0001; SRC-UK-0003,CPZ/RPZ mitigation may be needed but cannot be assumed without design consultation equality and enforcement evidence,medium,Bristol CPZ/RPZ options costs enforcement capacity consultation approach and equality screening,CPZ/RPZ mitigation is selected costed consulted on or ready,Mitigation option map cost estimate enforcement resource assessment equality screen consultation plan and decision route,blocked,Spatial Data Agent
NLR-0009,monitoring_triggers_and_adaptive_controls,SRC-NOTT-0001; SRC-NOTT-0002; SRC-BCC-0006,A WPL scheme would need post-launch monitoring triggers for displacement employer compliance and mitigation changes,medium,Bristol monitoring plan baseline thresholds data owner and response governance,Monitoring will identify and fix displacement without defined thresholds,Baseline metrics trigger thresholds governance response plan and public reporting route,blocked,Operations Design Agent
NLR-0010,current_nottingham_refresh_gap,EG-0008; SRC-NOTT-0003 and SRC-NOTT-0004 seeded_not_downloaded,Current Nottingham charge threshold operating status and latest reports must be refreshed before publication or business-case reliance,low,Latest official Nottingham pages annual report and current charge threshold acquired and source-noted,Current Nottingham charge threshold or operating status is confirmed from older sources,Refreshed Nottingham source acquisition extraction source notes and currentness review,blocked,Comparator Evidence Agent
