pattern_id,pattern_area,weca_example_evidence,bristol_wpl_application,required_control,no_go_limit
PAT-WECA-001,Document control and status,SRC-WECA-0009 lines 1-32,Every simulated WPL OBC file opens with simulation-only document control and no-real-world-reliance status,Validator requires Stage 32A simulation status phrase in front matter and simulated working draft,Do not present as official Bristol WECA DfT or officer document
PAT-WECA-002,Report purpose and five cases,SRC-WECA-0009 lines 172-186,Use five-case structure with a report-purpose section explaining evidence maturity and blocked readiness,Each section must classify material claims as cited assumption inference proposal or gap,Do not state that the WPL OBC is submitted approved or reliance-ready
PAT-WECA-003,Strategic context,SRC-WECA-0009 lines 193-213 and SRC-WECA-0008 lines 402-407,Use regional and Bristol policy context to frame the problem and next-stage OBC purpose,Cite policy sources and keep WECA context separate from formal WPL approval,Do not imply WECA/MCA support consent funding or no-role position
PAT-WECA-004,Options and work packages,SRC-WECA-0008 lines 538-557 and SRC-BCC-0036 lines 390-394,Present WPL options and package interfaces as draft/conditional and not selected,Boundary charge exemption and package choices must remain gaps until evidence closes,Do not identify a preferred option boundary charge threshold or package
PAT-WECA-005,Economic appraisal,SRC-WECA-0009 lines 1126-1157,State appraisal approach and required data/model controls without invented BCR or VFM,Link to ASR OAR ASST model and uncertainty blockers,Do not invent demand response revenue BCR VFM or monetised benefits
PAT-WECA-006,Financial approvals and funding,SRC-WECA-0009 lines 1498-1514 and SRC-BCC-0015 lines 4506-4520,Separate Bristol CAZ-funded OBC development from future implementation funding and any WECA/MCA funding trigger,Package cost-line funding assurance classification required before reliance,Do not claim Section 151 certification affordability WECA funding or capital approval
PAT-WECA-007,Commercial procurement,SRC-WECA-0009 lines 1619-1645,Describe delivery and procurement questions for licensing billing data enforcement customer contact and appeals as unresolved controls,Commercial readiness register required before OBC reliance,Do not claim procurement route supplier readiness or service readiness
PAT-WECA-008,Management and delivery,SRC-WECA-0009 lines 1787-1807 and SRC-WECA-0008 lines 9058-9107,Use governance programme risk assurance and unitary/Combined Authority interface structure,Decision-route table must separate Bristol WECA DfT and Secretary of State roles,Do not settle final order-maker submitter or WECA statutory role
PAT-WECA-009,Risk and issue management,SRC-WECA-0008 lines 9528-9555,Keep risks issues gaps and pitfalls live in the OBC body rather than hidden in registers,Stage 32A adds risk/pitfall rows for WECA-style overclaim and partial-exemplar overclaim,Do not treat professional-looking draft as risk mitigation
PAT-WECA-010,Benefits monitoring and evaluation,SRC-WECA-0008 lines 9835-9899,Describe benefits plan monitoring and evaluation evidence required before reliance,Do not quantify benefits unless source/model backed; record baseline gaps,Do not claim benefits are decision-grade or transferable from Nottingham
PAT-WECA-011,Conditional committee wording,SRC-BCC-0036 lines 215-220 279-285 431-448,Use conditional language such as subject to future approval if approved and no-go until conditions close,Recommendations section must request only simulation conditions-to-close,Do not recommend proceed approve submit launch consultation or implement
PAT-WECA-012,Trigger-specific WECA relevance,SRC-BCC-0015 lines 879-886 and Stage 2H trigger map,Tag each WECA reference as strategic context funding/assurance trigger formal decision assumption or gap,WECA trigger tags required in exemplar register and OBC decision-route section,Do not use WECA-style tone to imply approval support consent funding or no-role
