gate_item_id,assurance_area,minimum_evidence,required_control,required_reviewer,blocker_ids,current_status,gate_effect,pass_condition
OBC-GATE-001,legal_governance,"Bristol final order-maker submitter signatory route WECA/MCA role and DfT process classified with current-law evidence","Stage 2L context packet Stage 2I decision-box Stage 2J DfT questions legal compliance matrix","Legal Review Agent and Monitoring Officer Simulation Agent","ISS-0001;ISS-0002;ISS-0008;RISK-0001;RISK-0002;RISK-0003",blocked_control_only,P0,"All legal/governance P0s closed and P1s conditionally accepted"
OBC-GATE-002,strategic_case,"Completed problem baseline objectives CSFs stakeholder evidence theory of change benefits dependencies and package logic","Stage 3A controls strategic evidence status package funding assurance classification","Strategic Case Review Agent","ISS-0009;RISK-0013;EG-0027;EG-0028",blocked_control_only,P1,"Strategic Case evidence reviewed and no predetermination finding recorded"
OBC-GATE-003,economic_appraisal,"OAR agreed ASR completed ASST model cards model outputs uncertainty sensitivity BCR VFM and Nottingham transferability controls","Stage 5A appraisal QA model cards run manifests benefits taxonomy Nottingham lessons register","TAG/Appraisal Review Agent and Analytical Assurance Agent","ISS-0004;ISS-0005;RISK-0005;RISK-0006;RISK-0009",blocked_control_only,P0,"Decision-grade appraisal outputs and reviewer sign-off exist"
OBC-GATE-004,spatial_parking,"Authoritative boundary options parking inventory topology QA lawful basis and displacement assessment","Stage 4A spatial controls parking inventory contract displacement controls DPIA scope","GIS/Data Review Agent and Data Protection Review Agent","ISS-0003;RISK-0004;EG-0014;EG-0016",blocked_control_only,P0,"Boundary and inventory evidence is complete and reconciled"
OBC-GATE-005,financial_affordability,"Costs revenues net proceeds accounting funding stack affordability sensitivity and Section 151 simulation replacement route","Financial model controls net proceeds policy package funding assurance rows","Finance Review Agent","RISK-0002;RISK-0005;REQ-0006;REQ-0019",blocked_control_only,P1,"Financial case evidence and affordability review complete"
OBC-GATE-006,commercial_operations,"Procurement route operating model licensing enforcement appeals service design data technology and cyber controls","Operations linkage controls procurement and commercial law note enforcement schemas","Commercial and Operations Review Agent","ISS-0006;RISK-0007;EG-0023",blocked_control_only,P1,"Commercial and operating readiness evidence reviewed"
OBC-GATE-007,management_delivery,"Programme governance delivery plan assurance route benefits management evaluation risk issue dependency and change controls","Management Case controls risk register issues register dependencies register benefits register evaluation framework","Integrated Case Review Agent","ISS-0011;RISK-0014",blocked_control_only,P1,"Management Case controls support a conditional gate recommendation"
OBC-GATE-008,consultation_readiness,"Formative consultation proposition materials privacy accessibility stakeholder coverage questionnaire response analysis and authority to consult","Stage 8A consultation launch-readiness and material version controls","Consultation Review Agent","ISS-0012;RISK-0015;EG-0030;EG-0031",blocked_control_only,P1,"Consultation readiness controls pass without prejudgement"
OBC-GATE-009,equality_data_accessibility,"EqIA health distributional DPIA lawful-basis accessibility and alternative-format controls","EqIA data-protection consultation accessibility and response-data controls","Equality Data Protection and Accessibility Review Agent","EG-0016;ISS-0012;RISK-0015",blocked_control_only,P1,"Equality data and accessibility reviews produce no launch blocker"
OBC-GATE-010,statutory_route,"Business-case to statutory crosswalk scheme order dependencies confirmation route and statutory dossier dependencies","Legal compliance matrix statutory dossier checklist decision route map","Legal Review Agent","ISS-0001;ISS-0002;ISS-0008;EG-0020;EG-0021;EG-0022",blocked_control_only,P0,"Statutory route dependencies are reconciled and no P0 remains"
OBC-GATE-011,red_team,"Bounded red-team challenge pack with open issue response and no-overclaim review","Stage 7 red-team packet claim evidence matrix no-go claim registers","Red Team","ISS-0011;ISS-0013;RISK-0014;RISK-0016",blocked_control_only,P1,"Red-team findings disposed with owner residual risk and gate effect"
OBC-GATE-012,officer_editability,"Editable Markdown source DOCX provenance manifest accessibility check and no authored PDF output","Assembly manifest document control DOCX protocol accessibility report","Technical Editor Agent","EG-0018;REQ-0020;RISK-0014",blocked_control_only,P1,"Officer-editable output is generated only after upstream gates pass"
