transferability_id,nottingham_assumption_or_evidence,bristol_use_requested,required_bristol_evidence,transferability_status,reviewer,notes
NTM-001,charge_level,not_permitted_without_assessment,boundary parking-base charge design affordability and consultation evidence,blocked,Comparator Evidence Agent,No Nottingham charge level transfer.
NTM-002,parking_base_distribution,not_permitted_without_assessment,Bristol authoritative inventory and premises taxonomy,blocked,Spatial Data Agent,No Bristol inventory exists.
NTM-003,behavioural_response_elasticity,not_permitted_without_assessment,Bristol behavioural evidence model specification and sensitivity testing,blocked,TAG/Appraisal Review Agent,No elasticity transfer.
NTM-004,congestion_or_traffic_effect,not_permitted_without_assessment,Bristol transport model and validation evidence,blocked,TAG/Appraisal Review Agent,No congestion or traffic-effect transfer; SRC-ACADEMIC-0001 failed acquisition remains a comparator gap.
NTM-005,mode_shift,not_permitted_without_assessment,Bristol baseline mode share and transport package evidence,blocked,TAG/Appraisal Review Agent,No model output exists.
NTM-006,enforcement_or_compliance_assumption,not_permitted_without_assessment,Bristol operating model PCN appeals recovery and compliance evidence,blocked,Operations Design Agent,No enforcement or compliance assumption transfer; operational readiness remains blocked.
NTM-007,revenue_collection_net_proceeds,not_permitted_without_assessment,Bristol parking inventory exemptions charge options compliance assumptions operating-cost model net-proceeds rules and sensitivity testing,blocked,Finance Review Agent,No Nottingham revenue collection compliance administration-cost or net-proceeds assumption transfer.
NTM-008,source_hierarchy,source_classification_only,Official Nottingham source currentness review academic method review and comparator source hierarchy classification,blocked,Comparator Evidence Agent,Official Nottingham sources evidence Nottingham operation only; academic sources support causal caution only; TfL/Leicester evidence proposal-stage concerns only.
NTM-009,public_acceptability,not_permitted_without_assessment,Bristol consultation evidence stakeholder analysis equality impacts business impacts and response analysis,blocked,Consultation Review Agent,No comparator support opposition or proposal status evidences Bristol acceptability.
NTM-010,mode_congestion_package_separation,not_permitted_without_assessment,Bristol mode baseline congestion model package attribution method background trend controls and sensitivity testing,blocked,Analytical Assurance Agent,Do not collapse public transport package effects background trends and WPL effects into one causal claim.
NTM-011,employer_behaviour,not_permitted_without_assessment,Bristol employer segmentation pass-through assumptions space reduction relocation exemption response compliance behaviour and sensitivity testing,blocked,Operations Design Agent,No assumed pass-through space reduction relocation exemption response or compliance behaviour without Bristol evidence.
