work_package_id,workstream,purpose,linked_blockers,prerequisite_evidence,minimum_output,required_review,current_status,gate_effect,no_go_note
WP-LEGAL-ROUTE,legal_governance,Settle Bristol final order-maker statutory submitter signatory route and decision authority,ISS-0001;RISK-0001,Monitoring Officer route evidence committee/full council authority map and signatory source chain,Legal route decision box and authority memorandum,Legal Review Agent and Monitoring Officer Simulation Agent,blocked_work_package,P0_blocks,This work package does not close the Bristol legal route blocker by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-WECA-MCA,weca_mca_role,Classify WECA/MCA consent no-role consultation-response funding and assurance dependencies,ISS-0002;RISK-0002,Current-law WECA/MCA role evidence written position funding dependency classification and meeting-record evidence,WECA/MCA dependency disposition matrix,WECA Governance Agent Funding Assurance Agent and Legal Review Agent,blocked_work_package,P0_blocks,This work package does not close WECA/MCA blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-DFT-PROCESS,dft_process,Obtain or evidence WPL-specific DfT procedural expectations and response handling,ISS-0008;RISK-0003,DfT contact log procedural response TAG/business-case route expectations and statutory confirmation evidence,DfT process and engagement disposition log,DfT Process Simulation Agent and Legal Review Agent,blocked_work_package,P1_blocks,This work package does not close DfT process blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-BOUNDARY-INVENTORY,spatial_data,Produce authoritative boundary and workplace parking inventory evidence,ISS-0003;RISK-0004,Source licences GIS boundary options topology QA car-park/employer inventory and legal/GIS reconciliation,Boundary inventory evidence pack and scheme schedule inputs,GIS/Data Review Agent Data Protection Review Agent and Legal Review Agent,blocked_work_package,P0_blocks,This work package does not close boundary or inventory blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-DISPLACEMENT,spatial_mitigation,Assess residential spillover CPZ/RPZ and mitigation consequences,ISS-0003;RISK-0004,Boundary options workplace inventory residential parking baseline CPZ/RPZ options and equality impacts,Displacement mitigation assessment and consultation input pack,GIS/Data Review Agent Equality Review Agent and Operations Design Agent,blocked_work_package,P0_blocks,This work package does not close displacement or mitigation blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-APPRAISAL-MODEL,appraisal_model,Complete OAR ASR ASST model cards run manifests uncertainty BCR and VFM evidence,ISS-0004;RISK-0005,OAR ASR ASST TAG units model inputs run logs validation uncertainty sensitivity and Nottingham transferability evidence,Decision-grade appraisal and model assurance pack,TAG/Appraisal Review Agent Analytical Assurance Agent and Finance Review Agent,blocked_work_package,P0_blocks,This work package does not close appraisal or modelling blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-CONSULTATION,consultation_equalities,Prepare lawful consultation authority materials privacy accessibility response analysis and reconsultation controls,ISS-0012;RISK-0015,Authority to consult consultation materials privacy notice accessibility QA stakeholder plan EqIA and analysis protocol,Consultation launch readiness pack,Consultation Review Agent Legal Review Agent Data Protection Review Agent and Accessibility Review Agent,blocked_work_package,P1_blocks,This work package does not close consultation blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-FINANCE-S151,finance_s151,Build affordability net-proceeds programme cost revenue sensitivity and Section 151 review evidence,ISS-0009;ISS-0016;RISK-0019,Parking inventory charge-base model costs net proceeds funding package borrowing reserves and downside cases,Financial Case and Section 151 assurance pack,Finance Review Agent and Section 151 Simulation Agent,blocked_work_package,P1_blocks,This work package does not close finance or Section 151 blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-OPERATIONS-DATA,operations_data,Populate licensing enforcement appeals recovery DPIA cyber and service-readiness controls,ISS-0006;ISS-0016;RISK-0007,Service design PCN appeals billing recovery inspection staffing DPIA cyber retention and supplier evidence,Operations data protection and service readiness pack,Operations Design Agent Data Protection Review Agent and Cyber Review Agent,blocked_work_package,P1_blocks,This work package does not close operations or data blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-OBC-FBC-EVIDENCE,case_assembly,Assemble source-backed OBC and later FBC evidence only after upstream blockers are resolved,ISS-0011;ISS-0014;ISS-0015;ISS-0016,Section dependency evidence claim matrix appraisal finance commercial management and assurance outputs,OBC/FBC evidence packet and decision-report inputs,Integrated Case Review Agent Evidence/Citation Agent and Red Team,blocked_work_package,P1_blocks,This work package does not close OBC or FBC blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
WP-PUBLIC-GOVERNANCE,public_governance,Maintain public-officer publication sign-off and no-overclaim controls,ISS-0013;ISS-0017;RISK-0016;RISK-0020,README public officer packs stage maps publication QA no-go claims and real-world replacement evidence,Public/officer handover and publication-control pack,Public Release Review Agent Officer Assurance Agent and Red Team,blocked_work_package,control_only,This work package does not close public governance blockers by existing. Listed reviews are simulation-only and require real officer professional replacement before real-world reliance.
