claim_id,summary_stage,summary_path,materiality,claim_type,reviewer,review_status,source_ids,source_id_count,summary_status,no_go_note
CLM-0001,Stage 16A,evidence/claim_summaries/summaries/clm-0001.md,high,governance,Bristol Governance Agent,verified_simulation,SRC-BCC-0004;SRC-BCC-0022,2,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0002,Stage 16A,evidence/claim_summaries/summaries/clm-0002.md,high,governance,Bristol Governance Addendum Agent,verified_simulation,SRC-BCC-0023;SRC-BCC-0024;SRC-BCC-0025;SRC-BCC-0026,4,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0003,Stage 16A,evidence/claim_summaries/summaries/clm-0003.md,high,legal,Legal Review Agent,verified_simulation,SRC-LEG-0003;SRC-LEG-0011,2,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0004,Stage 16A,evidence/claim_summaries/summaries/clm-0004.md,high,legal,Legal Review Agent,verified_simulation,SRC-LEG-0011,1,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0005,Stage 16A,evidence/claim_summaries/summaries/clm-0005.md,high,governance,WECA Governance Agent,verified_simulation,SRC-WECA-0001;SRC-WECA-0003;SRC-WECA-0004;SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023;SRC-BCC-0004;SRC-BCC-0014,14,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0006,Stage 16A,evidence/claim_summaries/summaries/clm-0006.md,high,legal_financial,Legal Review Agent,verified_simulation,SRC-LEG-0004;SRC-LEG-0012,2,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0007,Stage 16A,evidence/claim_summaries/summaries/clm-0007.md,high,operations,Spatial Data and Operations Agent,verified_simulation,SRC-LEG-0011,1,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0008,Stage 16A,evidence/claim_summaries/summaries/clm-0008.md,medium,evidence_transferability,Comparator Evidence Agent,verified_simulation_synthesis,SRC-NOTT-0001;SRC-NOTT-0002;SRC-ACADEMIC-0002;SRC-TFL-0001;SRC-UK-0003,5,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0009,Stage 16A,evidence/claim_summaries/summaries/clm-0009.md,high,appraisal,Appraisal Guidance Agent,verified_simulation_synthesis,SRC-DFT-0001;SRC-DFT-0002;SRC-HMT-0001;SRC-HMT-0004;SRC-WECA-0006,5,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0010,Stage 16A,evidence/claim_summaries/summaries/clm-0010.md,high,legal,Legal Review Agent,verified_simulation,SRC-LEG-0003;SRC-LEG-0020;SRC-LEG-0011,3,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0011,Stage 16A,evidence/claim_summaries/summaries/clm-0011.md,high,legal,Legal Review Agent,verified_simulation,SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0020;SRC-LEG-0025;SRC-LEG-0008;SRC-LEG-0024;SRC-BCC-0001,7,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0012,Stage 16A,evidence/claim_summaries/summaries/clm-0012.md,high,governance_legal,Legal Review Agent,verified_simulation,SRC-BCC-0004;SRC-BCC-0008;SRC-BCC-0009;SRC-BCC-0014;SRC-BCC-0016;SRC-BCC-0017;SRC-BCC-0029;SRC-BCC-0030;SRC-BCC-0031;SRC-BCC-0032;SRC-BCC-0033;SRC-BCC-0034,12,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
