component_number,component_name,required_document,minimum_evidence,linked_blockers,current_status,gate_effect,owner,reviewer,no_go_note
01,covering submission,statutory_dossier/assembled/covering-submission.md,"confirmed submitter signatory decision authority and DfT route","ISS-0001;ISS-0002;ISS-0008",blocked_control_only,P0,Legal Review Agent,Simulation Gate Authority,"No covering submission is ready"
02,application or confirmation request,statutory_dossier/assembled/confirmation-request.md,"WPL-specific DfT route and lawful request authority","ISS-0001;ISS-0008;EG-0021",blocked_control_only,P0,Legal Review Agent,DfT Process Simulation Agent,"No confirmation request is ready"
03,certified scheme order,statutory_dossier/draft_scheme_order/scheme_order_working_draft.md,"council-made order legal certificate authenticity and final route","ISS-0001;EG-0020",blocked_control_only,P0,Legal Review Agent,Monitoring Officer Simulation Agent,"No certified scheme order exists"
04,legal boundary map and schedule,statutory_dossier/boundary_schedule/boundary_schedule.md,"authoritative GIS boundary legal schedule and topology QA","ISS-0003;RISK-0004;EG-0014",blocked_control_only,P0,Spatial Data Agent,Legal Review Agent,"Boundary schedule is not legally settled"
05,statement of reasons,statutory_dossier/statement_of_reasons/statement_of_reasons.md,"completed strategic case scheme design proportionality and evidence","ISS-0009;ISS-0004",blocked_control_only,P1,Strategic Case Review Agent,Legal Review Agent,"Statement of reasons is not reliance-ready"
06,legal powers and compliance statement,statutory_dossier/legal_compliance_matrix.csv,"populated legal compliance matrix and closed P0 legal route","ISS-0001;ISS-0002;ISS-0008",blocked_control_only,P0,Legal Review Agent,Red Team,"Legal compliance is not submission-ready"
07,local transport policy case,statutory_dossier/local_transport_policy_case/local_transport_policy_case.md,"policy linkage benefits package and net-proceeds alignment","ISS-0009;REQ-0006;REQ-0019",blocked_control_only,P1,Strategic Case Review Agent,Finance Review Agent,"Transport policy case is incomplete"
08,approved 10-year general plan for net proceeds,statutory_dossier/ten_year_general_plan/general_plan.md,"approved opening ten-year plan with lawful transport-policy linkage","LEGAL-019;REQ-0006",blocked_control_only,P1,Finance Review Agent,Legal Review Agent,"No approved 10-year plan exists"
09,approved 5-year detailed programme,statutory_dossier/five_year_detailed_programme/detailed_programme.md,"approved five-year programme costs owners benefits and dependencies","LEGAL-020;REQ-0006",blocked_control_only,P1,Finance Review Agent,Legal Review Agent,"No approved 5-year programme exists"
10,final business case,business_case/fbc,"completed FBC with final design consultation evidence and reappraisal","ISS-0011;ISS-0012;RISK-0014",blocked_control_only,P0,Integrated Case Review Agent,Simulation Gate Authority,"No FBC exists"
11,consultation statement and response,statutory_dossier/consultation_statement/consultation_statement.md,"lawful consultation launch response analysis conscientious consideration and reconsultation assessment","ISS-0012;EG-0030;EG-0031",blocked_control_only,P1,Consultation Review Agent,Legal Review Agent,"Consultation statement is not complete"
12,equality human-rights and distributional assessment,statutory_dossier/equality_and_human_rights/equality_human_rights_statement.md,"EqIA health distributional human-rights evidence and mitigations","ISS-0012;EG-0016",blocked_control_only,P1,Equality Review Agent,Legal Review Agent,"Equality and human-rights assessment is incomplete"
13,environmental and carbon assessment,analysis/environment-and-carbon,"environment carbon and statutory assessment screening","ISS-0009;ISS-0012",blocked_control_only,P1,Environment Review Agent,Legal Review Agent,"Environmental and carbon assessment is incomplete"
14,financial and net-proceeds evidence,statutory_dossier/financial_and_net_proceeds/net_proceeds_statement.md,"cost revenue affordability net-proceeds accounting and sensitivity evidence","REQ-0006;LEGAL-017;LEGAL-021",blocked_control_only,P1,Finance Review Agent,Legal Review Agent,"Financial and net-proceeds evidence is incomplete"
15,licensing compliance enforcement and appeals design,statutory_dossier/licensing_enforcement_and_appeals/licensing_enforcement_appeals.md,"operating procedure PCN representations appeals recovery and service policy","ISS-0006;RISK-0007;EG-0023",blocked_control_only,P1,Operations Design Agent,Legal Review Agent,"Licensing and enforcement design is incomplete"
16,governance resolutions,statutory_dossier/council_resolutions,"final council or committee resolutions signatory and submission authority","ISS-0001;LEGAL-014",blocked_control_only,P0,Bristol Governance Agent,Monitoring Officer Simulation Agent,"Required resolutions do not exist"
17,monitoring evaluation and review,statutory_dossier/monitoring_and_review/monitoring_review_plan.md,"baseline metrics evaluation plan review triggers and annual reporting","ISS-0003;ISS-0004",blocked_control_only,P1,Evaluation Review Agent,Integrated Case Review Agent,"Monitoring and review plan is incomplete"
18,implementation and commencement plan,statutory_dossier/assembled/implementation-commencement-plan.md,"service readiness procurement operations data cyber and commencement dependencies","ISS-0006;RISK-0007",blocked_control_only,P1,Operations Design Agent,Commercial Review Agent,"Implementation plan is not ready"
19,supporting evidence list,evidence/source_register.csv,"complete evidence index source notes claim matrix and conflict register","ISS-0007;EG-0024",blocked_control_only,P1,Evidence Librarian,Red Team,"Supporting evidence list is incomplete"
20,response to DfT pre-application points,statutory_dossier/dft_pre_application/engagement_log.csv,"logged DfT questions responses classifications and dispositions","ISS-0008;EG-0021",blocked_control_only,P1,Legal Review Agent,DfT Process Simulation Agent,"No DfT response log exists"
21,statutory route memorandum,statutory_dossier/controls/statutory-route-memorandum-control.md,"power decision-maker confirmation exemption order-change classification and route evidence","ISS-0001;ISS-0008;EG-0020;EG-0021;EG-0022",blocked_control_only,P0,Legal Review Agent,Monitoring Officer Simulation Agent,"Statutory route memorandum is not complete"
22,council-made scheme order submitted for confirmation,statutory_dossier/draft_scheme_order/scheme_order_working_draft.md,"made order submission authority legal authenticity certificate DfT route and post-confirmation certified order control","ISS-0001;ISS-0008",blocked_control_only,P0,Legal Review Agent,Monitoring Officer Simulation Agent,"No council-made order is ready for submission"
23,clause-by-clause scheme-order powers matrix,statutory_dossier/draft_scheme_order/clause-by-clause-powers-matrix.csv,"clause source power evidence dependencies reviewer and open blocker mapping","LEGAL-004;ISS-0001;ISS-0003",blocked_control_only,P1,Legal Review Agent,Red Team,"Clause matrix is control-only"
