assumption_id,stage,assumption,basis,owner,review_date,status
ASM-0001,Stage 1,"For simulation drafting only, a Bristol WPL would be an initial Transport Act 2000 licensing scheme order requiring Secretary of State confirmation before implementation.","Legal Review Agent review of SRC-LEG-0003 SRC-LEG-0011 and Bristol source pack.",Legal Review Agent,2026-06-25,working
ASM-0002,Stage 1,"DfT engagement is treated as non-statutory process engagement and must not be described as approval or statutory confirmation.","Legal Review Agent Stage 1 due diligence.",Legal Review Agent,2026-06-25,accepted_control
ASM-0003,Stage 1,"Bristol has the active public decision trail; WECA/MCA sources are currently strategic funding-context or assurance-context evidence unless a formal WECA/MCA decision paper is found.","WECA/MCA Governance Review Agent review of WECA and Bristol extracted evidence.",WECA Governance Agent,2026-06-25,working
ASM-0004,Stage 1,"As at 25 June 2026 the acquired Bristol governance evidence does not approve WPL implementation statutory consultation launch FBC preferred scheme boundary charge thresholds or exemptions.","Bristol Governance Review Agent and addendum review of SRC-BCC-0004 SRC-BCC-0022 to SRC-BCC-0027.",Bristol Governance Agent,2026-06-25,accepted_control
ASM-0005,Stage 1,"Nottingham evidence may inform comparator lessons and operating precedent but must not be transferred as Bristol impact or revenue evidence without Bristol-specific modelling.","Comparator Review Agent Stage 1 due diligence.",Comparator Evidence Agent,2026-06-25,accepted_control
ASM-0006,Stage 4,"No selected boundary parking base or charging design exists in the repo; any scheme parameter is an assumption until backed by formal decision and data evidence.","Spatial Data and Operations Review Agent no-go.",Spatial Data Agent,2026-06-25,accepted_control
ASM-0007,Stage 2,"For simulation control, section 184 confirmation is treated as required for an initial Bristol WPL order unless current-law evidence establishes a specific exception.","Stage 2 Legal Review Agent review of SRC-LEG-0003 and SRC-LEG-0011.",Legal Review Agent,2026-06-25,accepted_control
ASM-0008,Stage 2,"WECA/MCA is treated as strategic and possible assurance/funding context only until current law, constitution and formal decision evidence proves a different role.","Stage 2 WECA/MCA Governance Review Agent classification.",WECA Governance Agent,2026-06-25,working
ASM-0009,Stage 2,"The Bristol Post June 2026 source is media context only and cannot support formal decision, legal route or statutory approval claims.","Source register review after user-supplied URL check.",Evidence Librarian,2026-06-25,accepted_control
ASM-0010,Stage 2C,"For simulation drafting only, Bristol City Council may be treated as the proposed Bristol local licensing authority and order-maker under investigation, but the final internal order-making and statutory submission route remains unresolved.","Stage 2C Legal Review Agent review of SRC-LEG-0017 SRC-LEG-0018 SRC-LEG-0020 SRC-LEG-0025 SRC-LEG-0008 SRC-LEG-0024 and SRC-BCC-0001.",Legal Review Agent,2026-06-26,working_control
ASM-0011,Stage 2D,"For simulation drafting, Transport and Connectivity Committee is the controlled working route for WPL OBC progression beyond OBC and FBC decisions, but final WPL licensing-scheme order-making and Secretary of State submission remain unresolved pending legal Monitoring Officer route confirmation.","Stage 2D Legal Review Agent review of SRC-BCC-0004 SRC-BCC-0008 SRC-BCC-0009 SRC-BCC-0014 SRC-BCC-0016 SRC-BCC-0017 SRC-BCC-0029 SRC-BCC-0030 SRC-BCC-0031 SRC-BCC-0032 SRC-BCC-0033 and SRC-BCC-0034.",Legal Review Agent,2026-06-26,working_control
ASM-0012,Stage 2E,"For simulation drafting, WECA/MCA evidence may be cited as regional strategic context and possible conditional funding or assurance context only; no formal WECA/MCA approval support objection consent sponsorship funding decision transferred/concurrent WPL function or no-role conclusion is established.","Stage 2E WECA Governance Legal Review and Funding Assurance Agent review of WECA strategy assurance constitution current-law Bristol OBC funding and programme-governance sources.",WECA Governance Agent,2026-06-26,working_control
