output_id,output_name,target_path,editable_format,current_status,assembly_gate,required_before_release,no_go_note
OUT-001,Source notes,evidence/source_notes/,Markdown and CSV,current_control,source-notes-qa,Use as source-use controls only; cite underlying sources for claims.,Source notes do not verify claims or close WPL readiness gates.
OUT-002,Claim summaries,evidence/claim_summaries/,Markdown and CSV,current_control,claim-summaries-qa,Use for current claim-matrix limitations only; update for new drafting claims.,Claim summaries do not prove claim truth or complete evidence.
OUT-003,OBC section working files,business_case/obc/,Markdown,template_control_only,gate-obc blocked,Resolve legal WECA/MCA DfT spatial appraisal consultation and OBC blockers.,OBC section templates are not an assembled OBC or officer-review draft.
OUT-004,OBC assembled draft,business_case/obc/assembled/bristol-wpl-outline-business-case.md,Markdown when gate passes,blocked,python3 scripts/assemble_obc.py must fail until blockers close,Stage 7 OBC gate must pass with source-linked claim evidence and assurance.,Do not assemble or distribute an OBC while current blockers remain open.
OUT-005,FBC assembled draft,business_case/fbc/assembled/bristol-wpl-full-business-case.md,Markdown when gate passes,blocked,python3 scripts/assemble_fbc.py must fail until blockers close,Stage 11 FBC/statutory gate must pass with legal finance consultation operations and implementation evidence.,Do not assemble or distribute an FBC while current blockers remain open.
OUT-006,Statutory dossier working files,statutory_dossier/,Markdown and CSV,control_only,statutory-qa blocked for submission,Certified order consultation statement DfT route boundary schedule and legal sign-off required.,Statutory dossier controls are not a statutory submission.
OUT-007,Officer dashboard and briefings,docs/officer/,Markdown,current_control,officer-pack-qa,"Keep no-go wording, blocker IDs and simulation limits visible.",Officer briefings are not public-authority approval or professional sign-off.
OUT-008,Public summary,docs/public/README.md,Markdown,current_control,public-release-qa,Keep public visibility is not approval wording and current no-go position visible.,Public summary is not official council publication or WPL approval.
OUT-009,Registers and workbooks,governance/; evidence/,CSV and XLSX,current_control,validate-registers and register-workbooks,CSV is source of truth; rebuild workbooks after register changes.,Registers record simulation controls and do not replace real authority decisions.
OUT-010,Authored PDF distribution outputs,not_applicable,None,prohibited,tests/test_no_pdf_outputs.py,No authored PDFs for officer distribution. PDFs are allowed only as downloaded raw evidence under evidence/raw/.,Do not create PDF officer-distribution outputs.
