gate_item_id,assurance_area,minimum_evidence,required_control,required_reviewer,blocker_ids,current_status,gate_effect,pass_condition
FBCG-001,scheme_order_boundary_legal,"scheme order boundary legal schedule and legal GIS reconciliation signed off","Stage 10A component register boundary schedule and clause matrix","Legal Review Agent and GIS/Data Review Agent","ISS-0001;ISS-0003;RISK-0001;RISK-0004;EG-0034",blocked_control_only,P0,"scheme order and boundary have legal sign-off"
FBCG-002,consultation_reconsultation,"lawful consultation launch response analysis conscientious consideration and reconsultation assessment","Stage 8A consultation controls and consultation statement","Consultation Review Agent and Legal Review Agent","ISS-0012;EG-0030;EG-0031;RISK-0015",blocked_control_only,P0,"consultation is lawful and conscientiously addressed"
FBCG-003,statutory_confirmation,"current statutory confirmation route dossier contents and DfT expectations satisfied","Stage 10A statutory dossier controls","Legal Review Agent and DfT Process Simulation Agent","ISS-0008;ISS-0015;EG-0021;EG-0034",blocked_control_only,P0,"current statutory confirmation requirements are satisfied"
FBCG-004,finance_s151_affordability,"Section 151 affordability review budgets costs revenue downside and net-proceeds plans","financial case net-proceeds controls and finance review","Finance Review Agent and Section 151 Simulation Agent","REQ-0006;ISS-0009;EG-0028;EG-0035",blocked_control_only,P0,"Section 151 affordability review is complete"
FBCG-005,procurement_commercial,"lawful procurement route market evidence contracts ICT performance exit and risk allocation","commercial case and procurement legal review","Commercial Review Agent and Procurement Law Agent","ISS-0006;RISK-0007;EG-0023;EG-0035",blocked_control_only,P1,"procurement and commercial route is lawful and credible"
FBCG-006,data_cyber,"DPIA lawful basis privacy cyber retention records and service data controls","data protection and cyber assurance pack","Data Protection Review Agent and Cyber Review Agent","EG-0016;ISS-0006;RISK-0007",blocked_control_only,P1,"data protection and cyber controls are ready"
FBCG-007,operations_enforcement,"licensing account management billing enforcement appeals recovery staffing testing and shadow year readiness","operations and implementation readiness pack","Operations Design Agent","ISS-0006;RISK-0007;EG-0023",blocked_control_only,P0,"operations and enforcement are service-ready"
FBCG-008,charge_base_revenue_models,"independent review of parking inventory charge-base demand revenue uncertainty and downside cases","model cards run manifests ASR ASST and revenue assurance","TAG/Appraisal Review Agent and Finance Review Agent","ISS-0003;ISS-0004;RISK-0004;RISK-0005",blocked_control_only,P0,"charge-base and revenue models are independently reviewed"
FBCG-009,investment_programme,"deliverable funded transport programme benefits dependencies owners and net-proceeds linkage","investment programme funding assurance and benefits controls","Funding Assurance Agent and Strategic Case Review Agent","ISS-0009;EG-0028;REQ-0019",blocked_control_only,P1,"investment programme is deliverable"
FBCG-010,equality_mitigation,"EqIA human-rights distributional assessment mitigations funding owners and monitoring","equality and distributional mitigation pack","Equality Review Agent and Finance Review Agent","ISS-0012;EG-0016;EG-0035",blocked_control_only,P1,"equality mitigations are funded and owned"
FBCG-011,dft_engagement,"DfT issues responses dispositions and accepted submission risks","DfT engagement log and statutory dossier responses","DfT Process Simulation Agent and Legal Review Agent","ISS-0008;EG-0021;EG-0034",blocked_control_only,P0,"DfT engagement issues are closed or accepted as submission risks"
FBCG-012,weca_mca_dependencies,"WECA/MCA role consent no-role consultation response funding and assurance dependencies","WECA/MCA role classifier and package funding assurance controls","WECA Governance Agent and Funding Assurance Agent","ISS-0002;RISK-0002;EG-0010;EG-0011",blocked_control_only,P0,"WECA/MCA dependencies are agreed"
FBCG-013,residual_risk_decision_pack,"decision-makers see open issues residual risks downside cases and no-go disposition","decision-report control and red-team disposition","Simulation Gate Authority and Red Team","ISS-0013;ISS-0015;RISK-0016;RISK-0018",blocked_control_only,P0,"no P0 findings remain and decision-makers see residual risks and downside"
