issue_id,stage,severity,issue,owner,due_date,target_gate,status,notes
ISS-0001,Stage 2,P0,Bristol final WPL licensing-scheme order-maker and statutory submitter route is unresolved,Legal Review Agent,,Stage 2 legal/governance gate,narrowed_open,Stage 2D controls Transport and Connectivity Committee route for OBC progression and FBC; Stage 2I adds final order submission decision-box controls but route remains blocked pending source-supported Monitoring Officer route confirmation.
ISS-0002,Stage 2,P0,WECA/MCA current-law role is unresolved after 2026 changes and cannot be inferred from strategy assurance scoped transferred-function silence or bounded public-search absence,WECA Governance Agent,,Stage 2 legal/governance gate,narrowed_open,Stage 2G bounded official ModernGov search did not locate formal WPL decision but consent no-role consultation-response and funding dependency conclusions remain blocked.
ISS-0003,Stage 4,P0,Authoritative WPL boundary and workplace parking inventory are absent,Spatial Data Agent,,Stage 4 spatial/data gate,open,Stage 4A creates boundary parking-inventory topology DPIA and enforcement-linkage controls only; blocks spatial option appraisal revenue estimates displacement assessment and scheme order boundary schedule.
ISS-0004,Stage 5,P0,No agreed ASR OAR ASST completed model cards model outputs or decision-grade uncertainty analysis exist,Appraisal Guidance Agent,,Stage 5 appraisal gate,open,Stage 5A creates control templates and model-card stubs only; blocks professional-grade OBC/FBC economic case BCR VFM and shortlist reliance.
ISS-0005,Stage 1,P1,Independent Nottingham congestion source SRC-ACADEMIC-0001 failed acquisition and cannot support congestion impact claims,Comparator Evidence Agent,,Stage 1 evidence refinement gate,open,Acquire equivalent independent source or omit independent congestion-reduction claims.
ISS-0006,Stage 4,P1,Licensing enforcement and appeals procedure is not populated despite new schemas,Operations Design Agent,,Stage 4 operations gate,open,Stage 4A links inventory declaration inspection enforcement and appeal data structures only; still requires PCN template service policy representations appeal recovery and evidence standards.
ISS-0007,Stage 1,P1,Source notes for acquired priority evidence are not yet written,Evidence Librarian,,Stage 1 evidence refinement gate,closed_stage_15b,Stage 15B adds source notes for all remaining downloaded priority-1 sources and validator coverage now checks no downloaded priority source is missing. Claim-level source summaries remain open under EG-0024 and EG-0044.
ISS-0008,Stage 2,P1,DfT engagement classification remains to be evidenced even though Secretary of State confirmation route is controlled,Legal Review Agent,,Stage 2 legal/governance gate,narrowed_open,Stage 2J controls generic DfT business-case TAG and bounded GOV.UK search evidence but WPL-specific DfT procedural expectations and any DfT response remain open.
ISS-0009,Stage 3,P1,Package and cost-line funding assurance classification table is not populated because candidate packages are not yet defined,Funding Assurance Agent,,Stage 3 strategic assessment gate,controlled_open,Stage 3A creates package funding assurance maturity and benefits control registers plus a P0 trigger rule for unresolved MCA funding or assurance reliance; each future package and cost line still needs funding source MCA assurance OAR ASR approval route evidence classification and gate effect.
ISS-0010,Stage 2,P1,Future agents need bounded context controls before legal governance statutory OBC FBC consultation DfT WECA MCA or order-change drafting,Programme Orchestrator,,Stage 2 legal/governance gate,controlled,Stage 2L creates mandatory first-read domain add-on banned-claim and subagent packet rules but does not close any substantive blocker.
