reviewer_id,review_role,required_competence,evidence_scope,mandatory_inputs,output_required,current_status,real_world_replacement
S11-REV-001,Monitoring Officer Simulation Agent,"public law governance statutory route and decision authority","scheme order boundary legal route governance resolutions and submission authority","Stage 2 route controls Stage 10A dossier controls and Stage 11 checklist","legal/governance gate opinion with limitations",blocked_control_only,"Monitoring Officer legal advice and formal authority decision"
S11-REV-002,Section 151 Simulation Agent,"local authority finance affordability accounting and net-proceeds controls","financial case affordability net proceeds borrowing reserves downside cases and budget authority","Financial Case net proceeds plan detailed programme and risk register","Section 151 affordability statement with conditions",blocked_control_only,"Section 151 Officer and qualified local-government finance review"
S11-REV-003,Integrated Case Review Agent,"Five Case Model integration and decision-case assurance","full FBC evidence packet OBC-to-FBC reconciliation and gate decision pack","FBC sections consultation statement statutory dossier and claim matrix","integrated FBC readiness review",blocked_control_only,"Senior responsible officer programme board and independent assurance review"
S11-REV-004,Legal Review Agent,"WPL powers consultation scheme order confirmation and public-law controls","legal powers scheme order consultation reconsultation and statutory dossier","legal compliance matrix route memorandum and consultation controls","legal due-diligence review",blocked_control_only,"qualified public-law transport and local-government legal advisers"
S11-REV-005,DfT Process Simulation Agent,"statutory confirmation process and DfT engagement classification","DfT questions responses dossier acceptance risks and confirmation expectations","DfT engagement log and statutory dossier readiness gate","DfT process-risk review",blocked_control_only,"current DfT contact route response and Secretary of State confirmation-process evidence"
S11-REV-006,Consultation Review Agent,"public-law consultation analysis accessibility and conscientious consideration","consultation launch response analysis reconsultation and decision-maker consideration","Stage 8A controls consultation statement and response data controls","consultation compliance review",blocked_control_only,"consultation legal adviser accessibility lead and consultation analyst"
S11-REV-007,TAG/Appraisal Review Agent,"transport appraisal modelling uncertainty and value-for-money assurance","ASR ASST model outputs revenue charge-base behavioural response and VFM","Stage 5A controls model cards run manifests and appraisal outputs","analytical assurance review",blocked_control_only,"independent transport economist modeller and appraisal assurance panel"
S11-REV-008,Commercial Review Agent,"procurement commercial operating model and contract readiness","commercial case procurement route ICT contracts performance and exit","Commercial Case operations controls procurement legal screen","commercial readiness review",blocked_control_only,"procurement legal adviser commercial lead and contract management assurance"
S11-REV-009,Operations Design Agent,"licensing compliance enforcement appeals and service readiness","licensing account management billing inspection PCN appeals recovery staffing and testing","Stage 4A operations linkage licensing controls and implementation plan","operational acceptance review",blocked_control_only,"service owner operational readiness board and enforcement legal review"
S11-REV-010,Data Protection Review Agent,"UK GDPR information governance cyber and records controls","DPIA lawful basis privacy notices cyber retention and restricted data handling","DPIA response-data controls and service data map","data protection and cyber readiness review",blocked_control_only,"Data Protection Officer SIRO cyber lead and records manager"
S11-REV-011,Equality Review Agent,"EqIA human-rights distributional analysis and mitigation ownership","equality impacts mitigations funding ownership monitoring and decision-maker regard","EqIA distributional assessment consultation outputs and finance controls","equalities assurance review",blocked_control_only,"equalities lead legal adviser and decision-maker public-sector equality duty record"
S11-REV-012,WECA Governance Agent,"combined-authority role funding assurance and inter-authority dependency classification","WECA/MCA consent no-role consultation response funding and assurance dependencies","Stage 2E to 2H controls package funding assurance and meeting-record search","WECA/MCA dependency review",blocked_control_only,"formal WECA/MCA decision or written no-role/funding-dependency position"
S11-REV-013,Red Team,"overclaim detection gate challenge and downside-risk testing","all Stage 11 gate materials no-go claims and decision-pack wording","Stage 11 checklist no-go register issue risk claim and evidence-gap registers","red-team disposition log",blocked_control_only,"independent assurance challenge function and audit trail"
S11-REV-014,GIS/Data Review Agent,"authoritative spatial data GIS licensing topology and boundary-to-car-park reconciliation","boundary maps scheme schedule parking inventory topology QA and spatial licence constraints","Stage 4A boundary controls Stage 10A scheme-order schedule and parking inventory controls","GIS and data reconciliation review",blocked_control_only,"qualified GIS lead data owner and legal boundary reviewer"
S11-REV-015,Procurement Law Agent,"public procurement contract route subsidy state-aid and commercial governance controls","procurement strategy service model ICT contracts market engagement and contract authority","Commercial Case procurement route contract register and service readiness pack","procurement-law assurance review",blocked_control_only,"qualified procurement lawyer procurement lead and commercial assurance board"
S11-REV-016,Cyber Review Agent,"cyber security service resilience access control audit logging and incident response","licensing platform billing data exchange enforcement records reporting and supplier cyber controls","DPIA service data map cyber assurance pack and supplier security evidence","cyber readiness review",blocked_control_only,"SIRO cyber lead supplier assurance and information-security review"
S11-REV-017,Finance Review Agent,"revenue cost affordability accounting sensitivity and downside-case assurance","charge-base revenue costs net proceeds borrowing reserves inflation and downside scenarios","financial case revenue model net-proceeds plan and investment programme","finance assurance review",blocked_control_only,"finance lead Section 151 team and independent financial assurance"
S11-REV-018,Funding Assurance Agent,"transport programme funding dependency benefits ownership and deliverability assurance","net-proceeds programme external funding dependencies delivery owners risks and benefits tracking","Strategic Case Financial Case investment programme and WECA/MCA dependency controls","funding and programme deliverability review",blocked_control_only,"transport programme sponsor funding lead and finance assurance board"
S11-REV-019,Strategic Case Review Agent,"policy fit problem definition objectives options benefits and strategic dependency assurance","strategic case objectives package logic benefit map alternatives and delivery dependencies","Strategic Case objectives benefits appraisal and investment programme controls","strategic-case assurance review",blocked_control_only,"senior responsible owner policy lead and independent strategic assurance"
S11-REV-020,Simulation Gate Authority,"simulation-only gate discipline blocker disposition and no-go enforcement","Stage 11A checklist no-go claims unresolved P0/P1 blockers and decision-report wording","issue risk evidence gap approvals signoff and gate report registers","simulation gate disposition",blocked_control_only,"real-world accountable decision authority and formal committee decision process"
