requirement_id,legal_source,section_or_regulation,operative_requirement,interpretation,scheme_implication,required_evidence,responsible_owner,reviewer,obc_status,fbc_status,submission_document,risk,decision
LEGAL-001,Transport Act 2000 and Bristol constitution,s178 s179 s198 s163 RTRA 1984 s121A Avon Order and Bristol constitution,licensing scheme must be made by source-supported authority through source-supported internal route,Bristol-led authority status and OBC progression FBC member route are controlled but final order-maker and submitter remain unresolved,confirm final WPL order-maker statutory submitter and signatory before order or submission readiness,Stage 2C authority chain Stage 2D route map WECA role evidence legal Monitoring Officer route confirmation and future committee resolutions,Legal Review Agent,Legal Review Agent,working,open,council_resolutions,P0,final order-maker and submitter not settled
LEGAL-002,Transport Act 2000,s184 and s198,licensing scheme order requires confirmation before effect and Secretary of State is appropriate national authority for England-only schemes,initial England route requires Secretary of State confirmation,confirm initial order submission decision-maker and collect DfT procedural expectations,current law route map and DfT process evidence,Legal Review Agent,Legal Review Agent,working,open,statutory_route_note,P1,route controlled; submitter not settled
LEGAL-003,Workplace Parking Levy England Regulations 2009,reg3,RPI-only variation exemption from confirmation,narrow exemption not for initial order,prevent misapplication to initial Bristol scheme,current regulation text and legal review,Legal Review Agent,Legal Review Agent,working,open,statutory_route_note,P1,working control
LEGAL-004,Transport Act 2000,s186,scheme order contents include area times charges duration,scheme design must map to order clauses,define clause-by-clause scheme order matrix,scheme order drafting instructions,Legal Review Agent,Legal Review Agent,open,open,draft_scheme_order,P1,not settled
LEGAL-005,Transport Act 2000 Schedule 12 and Net Proceeds Regulations 2003,Schedule 12 and SI 2003/110,net proceeds plans programmes and accounting controls required,financial case must reconcile gross income costs net proceeds and plans,financial case must include net proceeds plans and accounting policy,ten year general plan five year detailed programme accounting policy,Finance Review Agent,Legal Review Agent,open,open,financial_and_net_proceeds,P1,not settled
LEGAL-006,West of England governance instruments,current amended orders and constitutions,WECA MCA role may affect powers assurance consent or funding,current role unresolved and cannot be inferred from strategy,WECA MCA role must be resolved before route conclusion,acquire current WECA MCA and Bristol governance evidence,WECA Governance Agent,Legal Review Agent,open,open,legal_authority_and_governance_map,P0,not settled
LEGAL-007,Workplace Parking Levy England Regulations 2009,reg4,licence charge liability may sit with non-occupier parking provider where qualifying arrangements exist,liable party cannot be assumed to be occupier in all cases,licensing model must capture occupier provider arrangement and evidence,licence-record schema provider evidence and liability basis,Operations Design Agent,Legal Review Agent,working,open,licensing_enforcement_and_appeals,P1,schema control added
LEGAL-008,Workplace Parking Levy England Regulations 2009,reg5 to reg7,penalty charges may apply to unlicensed parking excess licensed places and licence-condition breach,penalty design must map each contravention to evidence and liable party,enforcement model must capture event type licensed maximum exempt vehicles and condition breach evidence,enforcement-event schema and operating procedure,Operations Design Agent,Legal Review Agent,working,open,licensing_enforcement_and_appeals,P1,schema control added
LEGAL-009,Workplace Parking Levy England Regulations 2009,reg8,penalty charge notices require prescribed content and service on liable person,PCN templates must include amount circumstances date time payment period method representation grounds increased charge and address,build PCN template and service controls before operations design,PCN template service policy and QA checklist,Operations Design Agent,Legal Review Agent,open,open,licensing_enforcement_and_appeals,P1,not settled
LEGAL-010,Workplace Parking Levy England Regulations 2009,reg9 to reg11,representations require consideration of supporting evidence and written decision,representation workflow is procedural fairness control,operating model must capture grounds evidence decision and notice of rejection,representations workflow and decision records,Operations Design Agent,Legal Review Agent,working,open,licensing_enforcement_and_appeals,P1,schema control added
