claim_id,prohibited_claim,allowed_stage_6a_wording,affected_sections,source_gate,gate_effect
OBC-NG-001,OBC is ready for approval,OBC assembly remains blocked while upstream P0 and P1 conditions remain open,all_sections,Stage 6A,P0
OBC-NG-002,preferred scheme has been selected,No preferred scheme exists in the repo evidence,executive_summary;strategic_case;conclusions,Stage 5A,P0
OBC-NG-003,consultation can launch,Consultation readiness is blocked pending legal strategic spatial appraisal equality data and operations controls,executive_summary;management_case;conclusions,Stage 8,P0
OBC-NG-004,WECA MCA approval support objection consent funding or no-role is settled,WECA/MCA status remains source-bounded and unresolved beyond conditional context controls,strategic_case;financial_case;management_case,Stage 2L,P0
OBC-NG-005,DfT has accepted or approved the WPL route,DfT WPL-specific process and any formal DfT response remain unresolved,management_case;conclusions,Stage 2J,P1
OBC-NG-006,boundary charge base or revenue is decision grade,Boundary parking inventory charge base and revenue modelling remain blocked,financial_case;economic_case,Stage 4A,P0
OBC-NG-007,BCR VFM or benefits are decision grade,No BCR VFM model output or quantified benefit exists,economic_case;executive_summary;conclusions,Stage 5A,P0
OBC-NG-008,operating model enforcement or appeals are ready,Operations enforcement PCN appeals recovery and service policy remain incomplete,commercial_case;management_case,Stage 4A,P1
OBC-NG-009,statutory submission is ready,Final order route DfT process boundary schedule consultation statement and dossier remain incomplete,management_case;conclusions,Stage 10,P0
OBC-NG-010,Stage 32A simulated OBC is a real Bristol OBC,Stage 32A creates a simulation-only WECA-style working draft and not a reliance-ready OBC,all_sections,Stage 32A,P0
OBC-NG-011,WECA-style drafting means WECA MCA endorsement or assurance compliance,WECA-style drafting is a document-pattern control only and does not evidence WECA/MCA endorsement assurance approval consent funding or no-role,strategic_case;financial_case;management_case;conclusions,Stage 32A,P0
OBC-NG-012,minutes report packs or programme lines are full OBC FBC exemplars,Minutes report packs and programme lines are route-pattern evidence only unless the source itself is a business-case document,strategic_case;management_case;appendices,Stage 32A,P1
OBC-NG-013,simulation sign-off replaces officer legal Monitoring Officer Section 151 finance modelling data consultation or professional review,Agentic sign-off is simulation-only and must be replaced by real-world professional and public-authority review before external use,all_sections,Stage 32A,P0
OBC-NG-014,Stage 32A draft may be distributed as an officer report committee report WECA submission or consultation document,The Stage 32A draft is editable simulation material only and must not be distributed as public-authority advice or consultation material,front_matter;executive_summary;conclusions,Stage 32A,P0
